V0000278412	メアリーさん、週末はたいてい何をしますか。	メアリーさん、しゅうまつはたいていなにをしますか 
V0000283424	その標識は進む方向を示している。	そのひょうしきはすすむほうこうをしめしている 
V0000283425	停止標識を無視しませんでしたか。	ていしひょうしきをむししませんでしたか 
V0000283426	大部分の標識は英語で書かれている。	だいぶぶんのひょうしきはえいごでかかれている 
V0000283427	「芝生に入らないで下さい」という標識があった。	"「しばふにはいらないでください」というひょうしきがあった 
V0000283428	それは遺憾ながら本当だ。	それはいかんながらほんとうだ 
V0000283429	トムの報告書には遺憾な点が多い。	トムのほうこくしょにはいかんなてんがおおい 
V0000283430	遺憾ながら、２月２７日のお約束を守ることが出来ません。	いかんながら、にがつにじゅうしちにちのおやくそくをまもることができません 
V0000283431	このコンピューター１年前に買ったばかりなのに、もうすっかり時代遅れだわ。	このコンピューターいちねんまえにかったばかりなのに、もうすっかりじだいおくれだわ 
V0000283432	彼女の物語が真実の筈がない。	かのじょのものがたりがじじつのはずがない 
V0000283433	空腹の筈がない。彼は昼食とったばかりだから。	くうふくのはずがない。かれはちゅうしょくとったばかりだから 
V0000283434	兄は丁度今札幌から帰ったところだ。	あにはちょうどいまさっぽろからかえったところだ 
V0000283435	お手伝いできません。実を言うと、丁度今とても忙しいのです。	おてつだいできません。じつをいうと、ちょうどいまとてもいそがしいのです 
V0000283436	彼らはワープロにいつも手を焼いている。	かれらはワープロにいつもてをやいている 
V0000283437	たった今明かりが消えた。	たったいまあかりがきえた 
V0000283438	彼はたった今夢から覚めたばかりのようでした。	かれはたったいまゆめからさめたばかりのようでした 
V0000283439	友人を見送りにたった今空港へ行って来た所です。	ゆうじんをみおくりにたったいまくうこうへいってきたところです 
V0000283440	彼女の服は膝まで届いていない。	かのじょのふくはひざまでとどいていない 
V0000283441	彼らは家族を貧困から守る。	かれらはかぞくをひんこんからまもる 
V0000283442	人口の増加こそが貧困を招いた。	じんこうのぞうかこそがひんこんをまねいた 
V0000283443	貧困は依然として犯罪の主要原因である。	ひんこんはいぜんとしてはんざいのしゅようげんいんである 
V0000283444	その殺人事件は依然として謎である。	そのさつじんじけんはいぜんとしてなぞである 
V0000283445	彼が有罪であるという事実は依然として残っている。	かれがゆうざいであるというじけんはいぜんとしてのこっている 
V0000283446	日本の主要作物は米である。	にほんのしゅようさくぶつはこめである 
V0000283447	この計画の主要な特徴はまだ曖昧です。	このけいかくのしゅようなとくちょうはまだあいまいです 
V0000283448	シカゴは、米国中西部の主要な都市である。	シカゴは、べいこくちゅうせいぶのしゅようなとしである 
V0000283449	勤勉さが彼の素晴らしい昇進の主要因だった。	きんべんさがかれのすばらしいしょうしんのしゅよういんだった 
V0000283450	車がぬかるみに填まり込んだ。	くるまがぬかるみにはまりこんだ 
V0000283451	危険を冒さなければ何も得られない。	きけんをおかさなければなにもえられない 
V0000283452	彼の妻は彼に危険を冒さないでね、と懇願した。	かれのつまはかれにきけんをおかさないでね、とこんがんした 
V0000283453	俺はあんたに話し掛けてるんじゃない、猿に話し掛けてるんだ。	おれはあんたにはなしかけてるんじゃない、さるにはなしかけてるんだ 
V0000283454	あんたは空腹の筈がない。少し前に軽食をとったんだからな。	あんたはくうふくのはずがない。すこしまえにけいしょくをとったんだからな 
V0000283455	彼女は私たちに軽食を用意してくれた。	かのじょはわたしたちにけいしょくをよういしてくれた 
V0000283456	大体あんたこの寒いのにノースリーブで何いってんのよ。	だいたいあんたこのさむいのにノースリーブでなにいってんのよ 
V0000283457	何あんた、またパン？相変わらず変わり映えのしない食生活送ってんのね。	なにあんた、またパン?あいかわらずかわりばえのしないしょくせいかつおくってんのね 
V0000283458	私たちの食生活はとても変化に富んでいます。	わたしたちのしょくせいかつはとてもへんかにとんでいます 
V0000283459	カナダは木材に富む。	カナダはもくざいにとむ 
V0000283460	彼は機知に富んだ人だ。	かれはきちにとんだひとだ 
V0000283461	米国は天然資源に富んでいる。	べいこくはてんえんしげんにとんでいる 
V0000283462	ビルは独創的な考えに富んでいる。	ビルはどくそうてきなかんがえにとんでいる 
V0000283463	彼の小論文は独創的な考えに満ち溢れていた。	かのじょのしょうろんぶんはどくそうてきなかんがえにみちあふれていた 
V0000283464	彼のデザインは大変独創的だ。	かれのデザインはたいへんどくそうてきだ 
V0000283465	彼は希望に満ち溢れていた。	かれはきぼうにみちあふれていた 
V0000283466	彼女は冒険心に満ち溢れている。	かのじょはぼうけんしんにみちあふれている 
V0000283467	彼は奨学金を得られそうだ。	かれはしょうがくきんをえられそうだ 
V0000283468	部長カンカンになって怒ってたぞ。お前何をしたんだよ。	ぶちょうカンカンになっておこってたぞ。おまえなにをしたんだよ 
V0000283469	お前はまだ一人で泳ぎに行くにはまだ幼すぎる。	おまえはまだひとりでおよぎにいくにはまだおさなすぎる 
V0000283470	幼い少年は彼の犬を抱きしめた。	おさないしょうねんはかれのいぬをだきしめた 
V0000283471	幼い子どもを優れた音楽に触れさせるべきだ。	おさないこどもをすぐれたおんがくにふれさせるべきだ 
V0000283472	その男は幼い少女を殺したかどで裁判にかけられている。	そのおとこはおさないしょうねんをさつじんしたかどてさいばんにかけられている 
V0000283473	散々小言をいってやる。	さんざんこごとをいってやる 
V0000283474	彼のうるさい小言に彼女は悩まされた。	かれのうるさいこごとにかれはなやまされた 
V0000283475	お父さんがよく遅くまで仕事をするので、お母さんが小言をたくさん言う。	おとうさんがよくおそくまでしごとをするので、おかあさんがこごとをたくさんいう 
V0000283476	その男は私にお前は誰かと尋ねたが、その質問に対しては私は答える必要はないと思った。	そのおとこはわたしにおまえはだれかとたずねたが、そのしつもんにたいしてはわたしはこたえるひつようはないとおもった 
V0000283477	散々考えた挙げ句その計画を実行にうつした。	さんざんかんがえたあげくそのけいかくをじっこうに移した 
V0000283478	彼は考えを実行に移すのが遅い。	かれはかんがえをじっこうにうつすのがおそい 
V0000283479	私たちは是非ともこの計画を実行に移さなければならない。	わたしたちはぜひともこのけいかくをじっこうにうつさなければならない 
V0000283480	包丁とか鍋とか台所用品を持参すること。	ほうちょうとかなべとかだいどころようひんをじさんすること 
V0000283481	私の妻は、包丁を使っているときに、指を切った。	わたしのつまは、ほうちょうをつかっているとき、ゆびをきった 
V0000283482	ほとんどの観光客がカメラを持参している。	ほとんどのかんこうきゃくがカメラをじさんしている 
V0000283483	今週は弁当を持参する。	こんしゅうはべんとうをじさんする 
V0000283484	火山の噴火に続いて飢饉が訪れた。	かざんのふんかにつづいてききんがおとずれた 
V0000283485	その火山は突然噴火し、多くの人が亡くなった。	そのかざんはとつぜんふんかしおおくのひとがなくなった 
V0000283486	彼女の厚化粧が嫌らしい。	かのじょのあつげしょうがいやらしい 
V0000283487	まったく・・・付き合いが長くなってくると、どいつもこいつもお前に毒される。	まったく・・・つきあいかながくなってくると、どいつもこいつもおまえにどくされる 
V0000283488	電車でポケットの中にあるものをすられた。	でんしゃでポケットのなかにあるものをすられた 
V0000283489	その町の子供たちは安全のため連れて行かれた。	そのまちのこどもたちはあんぜんのためつれていかれた 
V0000283490	笑われるのには慣れている。	わらわれるのにはなれている 
V0000283491	漫画の中で政治家は愛される存在というより、笑われる存在として描かれることが多い。	まんがのなかでせいじかはあいされるそんざいというより、わらわれるそんざいとしてかかれることがおおい 
V0000283492	彼女は自分の肖像画を描かせた。	かのじょはじぶんのしょうぞうがをかかせた 
V0000283493	キャンバスのオイルはとても微細な花びらを描けない。	キャンバスのオイルはとてもびさいなはなびらをかけない 
V0000283494	バラの棘で刺されるよりは、いらくさの棘で刺された方がましだ。	バラのとげでさされるよりは、いらくさのとげでさされたほうがましだ 
V0000283495	私は指に棘を刺した。	わたしはゆびにとげをさした 
V0000283496	彼の言葉には棘があった。	かれのことばにはとげがあった 
V0000283497	その腫れから判断すると、その人はきっと蛇に噛まれたに違いありません。	そのはれからはんだんすると、そのひとはきっとへびにかまれたにちがいありません 
V0000283498	我々は愛国心を今日の青年の心に植え付けなければならない。	われわれはあいこくしんをきょうのせいねんのこころにうえつけなければならない 
V0000283499	我々はその畑に今年は綿を植え付けるつもりだ。	われわれはそのはたけにことしはめんをうえつけるつもりだ 
V0000283500	国家主義と愛国心とを混同してはならない。	こっかしゅぎとあいこくしんとをこんどうしてはならない 
V0000283501	公私を混同してはいけない。	こうしをこんどうしてはいけない 
V0000283502	彼女はときに空想と現実を混同することがある。	かれはときにくうそうとげんじつをこんどうすることがある 
V0000283503	孤独と孤立を混同してはいけない。それぞれ異なったものである。	こどくとこりつをこんどうしてはいけない。それぞれことなったものである 
V0000283504	公私のけじめを付けなければいけません。	こうしのけじめをつけなければいけない 
V0000283505	空想の力で、宇宙旅行も出来る。	くうそうのちからで、うちゅうりょこうもできる 
V0000283506	不活発な子供は空想の世界に閉じ込める傾向がずっと高い。	ふかっぱつなこどもはくうそうのせかいにとじこめるけいこうがずっとたかい 
V0000283507	彼女は書斎に閉じこもって思い切り泣いたのである。	かのじょはしょさいにとじこもっておもいきりないたのである 
V0000283508	家内の愚痴を聞くのはもううんざりしています。	かないのぐちをきくのはもううんざりしています 
V0000283509	家内のパートの仕事で少々余分な金が入る。	かないのパートのしごとでしょうしょうよぶんなかねがはいる 
V0000283510	私は彼の演説にうんざりした。	わたしはかれのえんぜつにうんざりした 
V0000283511	毎日の単調な生活にはうんざりだ。	まいにちのたんちょうなせいかつはうんざりだ 
V0000283512	芸術は我々の生活の単調さを破ってくれる。	げいじゅつはわれわれのせいかつのたんちょうさをやぶってくれる 
V0000283513	不平不満を治す薬はない。	ふへいふまんをなおすくすりはない 
V0000283514	私達は君たちの不平不満にはうんざりしている。	わたしたちはきみたちのふへいふまんにはうんざりしている 
V0000283515	俺も後輩にアドバイスする歳になったか。	おれもこうはいにアドバイスするとしになったか 
V0000283516	彼は私より３年後輩です。	かれはわたしよりさんねんこうはいです 
V0000283517	彼女は先輩を追い越して昇進した。	かのじょはせんぱいをおいこしてしょうしんした 
V0000283518	我々は彼をよき先輩として尊敬している。	われわれはかれをよきせんぱいとしてそんけいしている 
V0000283519	一年先輩だからって、そんなに威張らなくていいじゃない。	いちねんせんぱいだからって、そんなにひっぱらなくていいじゃない 
V0000283520	もうこれからは俺を粗末には扱えないぞ。	もうこれからはおれをそまつにはあつかえないぞ 
V0000283521	社会保障は軽々しく扱える問題ではない。	しゃかいほしょうはかるがるしくあつかえるもんだいではない 
V0000283522	戦争は軽々しくするものではないし、憲法を改正するのも「戦争したくてしょうがない」わけではない。	"せんそうはかるがるしくするものではないし、けんぽうをかいせいするのも「せんそうしたくてしようがない」わけではない 
V0000283523	法律が改正された。	ほうりつがかいせいされた 
V0000283524	彼は規則の改正を唱えている。	かれはきそくのかいせいをとなえている 
V0000283525	彼らは税法の改正を支持している。	かれらはぜいほうのかいせいをしじしている 
V0000283526	平等は憲法で守られている。	びょうどうはけんぽうでまもられている 
V0000283527	平等は憲法で保障されている。	びょうどうはけんぽうでほしょうされている 
V0000283528	憲法を犯してはならない。	けんぽうをおかしてはならない 
V0000283529	彼の冗談はクラス全員を爆笑させた。	かれのじょうだんはクラスぜんいんをばくしょうさせた 
V0000283530	非常に上手い洒落だったので、満場爆笑した。	ひじょうにうまいしゃれだったので、まんじょうばくしょうした 
V0000283531	私たちはその教授が昔から言っている洒落にうんざりしている。	わたしたちはそのきょうじゅがむかしからいっているしゃれにうんざりしてうる 
V0000283532	彼のばかげた提案が満場一致で承認された。	かれのばかげたていあんがまんじょういっちでしょうにんされた 
V0000283533	僕は異常な物音を聞いた。	ぼくはいじょうなものおとをきいた 
V0000283534	彼女の異常な行動が私たちの疑いを引き起こした。	かのじょのいじょうなぎょうぎがわたしたちのうたがいをひきおこした 
V0000283535	彼の仕事は外国の買い手と交渉することだ。	かれのしごとはがいこくのかいてとこうしょうすることだ 
V0000283536	有望な買い手は、契約内容をよく理解できませんでした。	ゆうぼうなかいては、けいやくないようをよくりかいできませんでした 
V0000283537	彼は前途有望な青年だ。	かれはぜんとゆうぼうなせいねんだ 
V0000283538	彼には洋々たる前途があった。	かれはようようたるぜんとがあった 
V0000283539	彼の前途は君が思うほど有望ではない。	かれのぜんとはきみがおもうほどゆうぼうではない 
V0000283540	彼は郵便局から三軒目に住んでいる。	かれはゆうびんきょくからさんげんめにすんでいる 
V0000283541	彼らは男女が平等なのは当然の事だと思っている。	かれらはだんじょがびょうどうなのはとうぜんのことだとおもっている 
V0000283542	今や男女の賃金を平等にするだけでなく、家事の責任も平等にすべき時である。	いまやだんじょのちんぎんをびょうどうにするだけでなく、かじのせきにんもびょうどうにすべきときである 
V0000283543	我が国の青年男女は政治に無関心だ。	わがくにのせいねんだんじょはせいじにむかんしんだ 
V0000283544	一体だれが私の名簿をめちゃめちゃにしたのだ。	いったいだれがわたしのめいぼをめちゃめちゃにしたのだ 
V0000283545	彼の名前は名簿には載っていない。	かれのなまえはめいぼにはのっていない 
V0000283546	彼らはなぜ乗客名簿を作らなかったのだろう。	かれらはなぜじょうきゃくめいぼをつくらなかったのだろう 
V0000283547	彼はその決定に不服を唱えた。	かれはそのけっていにふふくをとなえた 
V0000283548	その提案に口を揃えて反対を唱えた。	そのていあんにくちをそろえてはんたいをとなえた 
V0000283549	彼は異議を唱える誰に対しても腹を立てた。	かれはいぎをとなえるだれにたいしてもはらをたてた 
V0000283550	出席者の側には異議はなかった。	しゅっせきしゃのがわにはいぎはなかった 
V0000283551	彼女の提案に異議を唱えるとは君も大胆だ。	かのじょのていあんにいぎをとなえるとはきみもだいたんだ 
V0000283552	彼は民衆の支持を得ようと努めていた。	かれはみんしゅうのしじをえようとつとめてい 
V0000283553	後者の見解を支持する人が日本には多い。	こうしゃのけんかいをしじするひとがにほんにはおおい 
V0000283554	彼女は女性の権利擁護の熱心な支持者である。	かのじょはじょせいのけんりようごのねっしんなしじしゃである 
V0000283555	綿密に言うと、彼の見解は私のとはいくらか異なる。	めんみつにいうと、かれのけんかいはわたしのとはいくらかことなる 
V0000283556	彼の書斎は公園に面している。	かれのしょさいはこうえんにめんしている 
V0000283557	その詩人は自分の書斎で自殺した。	そのしじんはじぶんのしょさいでじさつした 
V0000283558	彼女は僕の右足を思い切り蹴りつけた。	かのじょはぼくのみぎあしをおもいきりけりつけた 
V0000283559	彼らは彼を殺しはしなかった。ただ警告の意味で殴ったり蹴ったりした。	かれらはかれをころしはしなかった。ただけいこくのいみでなぐったりけったりした 
V0000283560	君がとても失礼だから、殴ってやりたいよ。	きみがとてもしつれいだから、なぐってやりたいよ 
V0000283561	海辺は子供たちが遊ぶのに理想的な場所だ。	うみべはこどもたちがあそぶのにりそうてきなばしょだ 
V0000283562	ニュービジネスアイディアの開発は誰もが望む理想的なことだろう。	ニュービジネスアイディアのかいはつはだれもがのぞむりそうてきなことだろう 
V0000283563	彼は理想的な夫であることが分かった。	かれはりそうてきなおっとであることがわかった 
V0000283564	「邪魔をしてはいけないよ。彼女は今、仕事中なのだから。」と彼は小声で言った。	"「じゃまをしてはいけないよ。かのじょはいま、しごとちゅうなのだから。」とかれはこごえでいった。 
V0000283565	俺たちみんな黄色い潜水艦で暮らしている。	おれたちみんなきいろせんすいかんでくらしている 
V0000283566	俺には何のコネもないから、就職するのが大変だ。	おれにはなんのコネもないから、しゅうしょくするのがたいへんだ 
V0000283567	俺を絶望のなかに置き去りにする。	おれをぜつぼうのなかにおきざりにする 
V0000283568	私を置き去りにしていかないでくれ。	わたしをおきざりにしていかないでくれ 
V0000283569	戦況は絶望的だ。	せんきょうはぜつぼうてきだ 
V0000283570	戦況は我々に有利に展開している。	せんきょうはわれわれにゆうりにてんかいしている 
V0000283571	物語の筋はある島を舞台に展開する。	ものがたりのすじはあるしまをぶたいにてんかいする 
V0000283572	彼女は事実に基づいて議論を展開する。	かのじょはじじつにもとづいてぎろんをてんかいする 
V0000283573	それは異常な展開を見せた出来事でした。	それはいじょうなてんかいをみせてできごとでした 
V0000283574	彼は絶望して帰宅した。	かれはぜつぼうしてきたくした 
V0000283575	母親の顔に絶望の色がありありと見えた。	ははおやのかおにぜつぼうのいろがありありとみえた 
V0000283576	少年は春の日差しを浴びて仰向けに寝ていた。	しょうねんははるのひざしをあびてあおむけにねていた 
V0000283577	診察台に仰向けになってください。	しんさつだいにあおむけになってください 
V0000283578	強い日差しで地面が乾いた。	つよいひざしでじめんがかわいた 
V0000283579	外に出ると強い日差しにカッと照らされた。	そとにでるとつよいひざしにカッとてらされた 
V0000283580	彼女その瞬間にカッとなったんだね。	かのじょそのしゅんかんにカッとなったんだね 
V0000283581	彼は勝利の瞬間を待ちわびた。	かれはしょうりのしゅんかんをまちわびた 
V0000283582	私は春の到来を待ちわびている。	わたしははるのとうらいをまちわびている 
V0000283583	広場はライトで赤々と照らされている。	ひろばはライトであかあかとてらされている 
V0000283584	広場には数百人の人がいた。	ひろばにはすうひゃくにんのひとがいた 
V0000283585	暗い部屋の中を懐中電灯で照らした。	くらいへやのなかをかいちゅうでんとうでてらした 
V0000283586	檻の中で飼われると子どもを産まない動物もいる。	おりのなかでかわれるとおどもをうまないどうぶつもいる 
V0000283587	その彫刻家は木で仏像を刻んだ。	そのちょうこくかはきでぶつぞうをきざんだ 
V0000283588	旅行代理店に問い合わせてみよう。	りょこうだいりてんにといあわせてみよう 
V0000283589	私は旅行代理店の人とチケットの値段を交渉した。	わたしはりょこうだいりてんのひととチケットのねだんをこうしょうした 
V0000283590	緊急の時は私の代理人に連絡をとってください。	きんきゅうのときはわたしのだいりにんにれんらくをとってください 
V0000283591	彼は父親の代理をした。	かれはちちおやのだいりをした 
V0000283592	観光案内所に問い合わせてください。	かんこうあんないしょにといあわせてください 
V0000283593	飛行機が定刻に到着するかどうか問い合わせた。	ひこうきがていこくにとうちゃくするかどうかといあわせた 
V0000283594	ご兄弟のことはカンザス州から問い合わせを受けたばかりです。	ごきょうだいのことはカンザスしゅうからといあわせをうけたばかりです 
V0000283595	私は小銭の持ち合わせがない。	わたしはこぜにのまちあわせがない 
V0000283596	大規模な道路工事が始まった。	だいきぼなどうろこうじがはじまった 
V0000283597	日本の漫画は大規模なブームを起こした。	にほんのまんがはだいきぼなブームをおこした 
V0000283598	ジョンは大規模な住宅計画をやり遂げた。	ジョンはだいきぼなじゅうたくけいかくをやりとげた 
V0000283599	この国は気候が温暖だ。	このくにはきこうがおんだんだ 
V0000283600	私は地球の温暖化傾向を心配している。	わたしはちきゅうのおんだんかけいこうをしんぱいしている 
V0000283601	地球温暖化は世界規模での天候の傾向を変えるであろう。	ちきゅうおんだんかはせかいきぼでのてんこうのけいこうをかえるであろう 
V0000283602	地球温暖化のために、アラスカではそれが溶け始めている地域もある。	ちきゅうおんだんかのために、アラスカではそれはとけはじめているちいきもある 
V0000283603	第二次世界大戦後われわれはアメリカ化されるようになった。	だいにじせかいたいせんごわれわれはアメリカかされるようになった 
V0000283604	事態はますます悪化した。	じたいはますますあっかした 
V0000283605	長旅で彼女の傷は悪化した。	ながたびでかのじょのきずはあっかした 
V0000283606	情勢は日増しに悪化している。	じょうせいはひましにあっかしている 
V0000283607	自然環境の悪化を阻止する。	しぜんかんきょうのあっかをそしする 
V0000283608	日増しに涼しくなっていく。	ひましにすずしくなっていく 
V0000283609	インフレを阻止しなければならない。	インフレをそししなければならない 
V0000283610	クーデター計画はぎりぎりのところで阻止されました。	クーデターけいかくはぎりぎりのところでそしされました 
V0000283611	ダーウィンの進化論を学びましたか。	ダーウィンのしんかろんをまなびましたか 
V0000283612	コンピューターは急速な進化を遂げた。	コンピューターはきゅうそくなしんかをとげた 
V0000283613	私は恐竜の進化にとても興味を持っている。	わたしはきょうりゅうのしんかにとてもきょうみをもっている 
V0000283614	私達はダーウィンという名前を聞くと進化論を連想する。	わたしたちはダーウィンというなまえをきくとしんかろんをれんそうする 
V0000283615	リンカーンと言えば自由を連想する。	リンカーンといえばじゆうをれんそうする 
V0000283616	その言葉には不愉快な連想がある。	そのことばにはふゆかいなれんそうがある 
V0000283617	彼らは大雨といえば洪水を連想した。	かれらはおおあめといえばこうずいをれんそうした 
V0000283618	これらの食べ物は、さまざまな民族の集団を連想させる。	これらのたべものは、さまざまなみんぞくのしゅうだんをれんそうさせる 
V0000283619	離婚と言うと悲観的なイメージを連想しがちである。	りこんというとひかんてきなイメージをれんそうしかちである 
V0000283620	日本人の民族的特性は何だと思いますか。	にほんじんのみんぞくてきとくせいはなんだとおもいますか 
V0000283621	我々は少数民族の権利を守らなければならない。	われわれはしょうすうみんぞくのけんりをまもらなければならない 
V0000283622	少数意見を尊重すべきだ。	しょうすういけんをそんちょうすべきだ 
V0000283623	タンカーには少数の乗組員しかいない。	タンカーにはしょうすうののりくみいんしかいない 
V0000283624	約束を破ることほど人を不愉快にするものはない。	やくそくをやぶることほどひとをふゆかいにするものはない 
V0000283625	彼は騒がしい子供を不愉快そうな顔でちらっと見た。	かれはさわがしいこどもをふゆかいそうなかおでちらっとみた 
V0000283626	車で通りかかったときに、有名な女優の家をチラッと見ました。	くるまでとおりかかったときに、ゆうめいなじょゆうのいえをチラッとみました 
V0000283627	新聞によるとＸＹＺオイルは今日倒産したらしい。	しんぶんによるとＸＹＺオイルはきょうとうさんしたらしい 
V0000283628	彼の概算によると家の新築費用は３０００万円です。	かれのがいさんによるといえのしんちくひようはさんぜんまんえんです 
V0000283629	この国の人口は概算５千万に達する。	このくにのじんこうはがいさんごせんまんにたっする 
V0000283630	彼の財産は１億ドルと概算された。	かれのざいさんはいちおくドルとがいさんされた 
V0000283631	テレビのニュースによると、インドで飛行機の墜落事故があったそうだ。	テレビのニュースによると、インドでひこうきのついらくじこがあったそうだ 
V0000283632	先月の雨の日に対する晴れの日の割合は４対１だった。	せんげつのあめのひにかいするはれのひのわりあいはよんたいいちだった 
V0000283633	その少女たちは体育館で踊った。	そのしょうじょはたいいくかんでおどった 
V0000283634	私たちの学校の体育館は今建設中です。	わたしたちのがっこうのたいいくかんはいまけんせつちゅうです 
V0000283635	その学校は最新の体育器具を備えている。	そのがっこうはさいしんのたいいくきぐをそなえている 
V0000283636	これは主婦の手間を省く便利な器具です。	これはしゅふのてまをはぶくべんりなきぐです 
V0000283637	機械は多くの手間を省く。	きかいはおおくのてまをはぶく 
V0000283638	役に立たないものは省きなさい。	やくにたたないものははぶきなさい 
V0000283639	彼女の台所は手間を省ける装置が装備されている。	かのじょのだいどころはてまをはぶけるそうちがそうびされている 
V0000283640	その船にはレーダーが装備されていた。	そのふねはレーダーがそうびされている 
V0000283641	私たちはスキーの装備を整えた。	わたしたちはスキーのそうびをととのえた 
V0000283642	紙面が足りなくてこの問題を省かなければならなかった。	しめんがたりなくてこのもんだいをはぶかなければならない 
V0000283643	時間が短いので、プログラムからスピーチの一部を省かなければならない。	じかんがみじかいので、プログラムからスピーチのいちぶをはぶかなければならない 
V0000283644	私は文を書く前に頭の中で整えることにしている。	わたしはぶんをかくまえにあたまのなかでととのえることにしている 
V0000283645	その病院は２４時間体制を整えている。	そのびょういんはにじゅうよんじかんたいせいをととのえている 
V0000283646	墜落に向けて用意は整えられた。	ついらくにむけてよういはととのえられた 
V0000283647	共産主義はソ連で実践された体制である。	きょうさんしゅぎはソれんでじっせんされたたいせいである 
V0000283648	爆破予告以来、空港の警備体制は強化された。	ばくはよこくいらい、くうこうのけいびたいせいはきょうかされた 
V0000283649	私は１９９９年に向けて、市場強化に専念します。	わたしはせんきゅうひゃくきゅうねんにむけて、しじょうきょうかにせんねんします 
V0000283650	輸出市場での競争力強化が緊急の課題である。	ゆしゅつしじょうでのきょうそうりょくきょうかがきんきゅうのかだいである 
V0000283651	我々は軍事力を強化すべきだと、大統領は言っている。	われわれはぐんじりょくをきょうかすべきだと、だいとうりょうはいっている 
V0000283652	多く学生が課題を出し損なった。	おおくのがくせいがかだいをだしそこなった 
V0000283653	ふははは！やっとこの課題も終ったぜ！さぁ次の課題でもやるべぇか。	ふははは！やっとこのかだいもおわったぜ！さぁつぎのかだいでもやるべぇか 
P0000053178	"「みろ、お前のお陰でフラれまくりだぞ」「そう？日頃の行いのせいじゃない？」 
